lado_km,bloques,rep,fold,n_pres_test,base_AUC,obs_AUC,neu_AUC,obs_TSS,obs_PR,cambio_decil
150,88,5,5,72,0.679383609788619,0.810870707334217,0.706373236374704,0.513372029826735,0.00380073848355933,36.6562418556164
200,56,1,1,98,0.678359856848012,0.817649267991954,0.727612775257824,0.521828780801756,0.0176138965117729,38.6916163253278
200,56,1,2,198,0.760750772955031,0.864851737820439,0.779673141178484,0.552955506295316,0.0542291340798456,44.0925500492288
200,56,1,3,195,0.761203021907268,0.909417305363451,0.829463300805215,0.66934040462669,0.0537009364136585,39.6362444699328
200,56,1,4,139,0.763703194448636,0.860961981997293,0.823307272104202,0.563512148313456,0.0687361823326627,37.68921841211
200,56,1,5,69,0.608350253930691,0.731921424069653,0.637176558309215,0.369081575168417,0.00262866864195638,30.5559608930396
200,56,2,1,125,0.786035524889108,0.90832780680138,0.816831463775259,0.707741744701824,0.0631055513751572,43.2448377581121
200,56,2,2,79,0.624209502938818,0.712597729418307,0.655084560118465,0.332921379577917,0.0041682031974173,36.2191958495461
200,56,2,3,143,0.773822664167933,0.865051085639321,0.821435243749822,0.603716149751955,0.0419923987834374,31.3167873147191
200,56,2,4,65,0.651539267070717,0.801802641095104,0.685742079078751,0.495369590456894,0.00838773315488695,41.0828025477707
200,56,2,5,287,0.735365203800801,0.863191489246479,0.776037254177773,0.567981780155294,0.0513069114859121,47.3928516168962
200,56,3,1,227,0.750951470341449,0.878196110499506,0.85520177295619,0.637481957010541,0.0327425840325171,26.9642391020621
200,56,3,2,212,0.736076274020983,0.858570401209389,0.810302753253199,0.576984932394483,0.0335057894155896,51.7809086591737
200,56,3,3,74,0.622012389881831,0.744129420636689,0.591720366383918,0.419897914779064,0.00370145261127401,43.550185873606
200,56,3,4,102,0.736759474564037,0.848262085520886,0.782706025773353,0.546431378818765,0.0376326002553065,43.3984842441165
200,56,3,5,84,0.657085045168421,0.789074963360723,0.636730950579021,0.482220340204699,0.00442718929559114,47.7636386544034
200,56,4,1,70,0.619268425010018,0.824577560861402,0.740204994979807,0.529716843086316,0.0090899154802444,42.0903510152684
200,56,4,2,167,0.709777942819312,0.799274152058497,0.705635868055202,0.451873401129363,0.0306325430286759,38.5739592559787
200,56,4,3,62,0.71155692246691,0.815628700964664,0.739462848184147,0.537513543030752,0.00454780673134582,45.7985456504175
200,56,4,4,286,0.75177581742733,0.843209663715507,0.788644843231045,0.538718221109769,0.0493602897011435,36.9502868068834
200,56,4,5,114,0.823483114965269,0.907667163190996,0.839573646618374,0.691716126648345,0.0537756354181081,37.2559751870097
200,56,5,1,116,0.789013684871497,0.864733956745454,0.829211800076762,0.584981934381438,0.0344483907802265,31.9651212250106
200,56,5,2,129,0.7746559527462,0.891061342824277,0.845835745072204,0.658391781751706,0.0465257576734747,38.695533022746
200,56,5,3,76,0.542709227574366,0.807061589253439,0.655226910098846,0.511810602232026,0.00483110248761244,53.608823118805
200,56,5,4,175,0.693388368790639,0.781550687103766,0.714021303628701,0.441588543612973,0.0258436119952336,36.9197593916695
200,56,5,5,203,0.745177985632346,0.869976401554912,0.832551796253483,0.602102898622992,0.0576352509064947,26.1871830336561
