rep,fold,base_AUC,base_TSS,base_PR,base_Boyce,base_rhoVias,geo_AUC,geo_TSS,geo_PR,geo_Boyce,geo_rhoVias,geotopo0_AUC,geotopo0_TSS,geotopo0_PR,geotopo0_Boyce,geotopo0_rhoVias,geotopo_AUC,geotopo_TSS,geotopo_PR,geotopo_Boyce,geotopo_rhoVias,all_obs_AUC,all_obs_TSS,all_obs_PR,all_obs_Boyce,all_obs_rhoVias,all_neu_AUC,all_neu_TSS,all_neu_PR,all_neu_Boyce,all_neu_rhoVias,all_rand_AUC,all_rand_TSS,all_rand_PR,all_rand_Boyce,all_rand_rhoVias,desp_base,desp_geo,desp_geotopo0,desp_geotopo,desp_all_obs
5,1,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333,-0.325645841908604,0.773913891671517,0.432053276445121,0.0382451591258789,0.83030303030303,-0.145857952400251,0.858494539438431,0.560145220719483,0.0577895941422043,0.903030303030303,-0.351123337077284,0.875942120860045,0.609817976473032,0.0610097269549763,0.939393939393939,-0.376870044284115,0.891159393009702,0.62363291236922,0.075750152942386,0.903030303030303,-0.632736104150423,0.840503894837582,0.585569448260791,0.0611546919758597,0.903030303030303,-0.0654321611168894,0.906033343702908,0.649478940512375,0.110244516774567,0.963262697049563,-0.621633888474467,59.3367722918202,53.6919675755343,29.2851879145173,29.2851879145173,37.3323507737657
5,2,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333,-0.349747566414214,0.761191231915881,0.43229234402595,0.0282302672476046,0.915151515151515,-0.137622719086223,0.813095015955051,0.48242965358786,0.0300014361892355,0.889637522752781,-0.317308346162561,0.829057134725466,0.541167423424239,0.0459952584793818,0.810990686314409,-0.324174171535058,0.840233916309963,0.59687062367002,0.0316821591008316,0.819606358482957,-0.575329799380604,0.804725368310675,0.503724415845354,0.0405301889533507,0.828283210838796,-0.0975304559116637,0.869818830857389,0.626617202011935,0.101583032106388,0.790277206784084,-0.615105901297128,60.8445297504799,61.1164427383237,30.7101727447217,27.1753039027511,35.7805502239283
5,3,0.784453407407227,0.460190260976525,0.0330354386440711,0.8,-0.328363973897483,0.738890704642445,0.420040519948223,0.030782205539509,0.721212121212121,-0.0966286464138545,0.867645506585285,0.588420399884254,0.0615893316865153,0.939393939393939,-0.307987046266307,0.87748339950077,0.594620983143144,0.103084154121504,0.857146816588891,-0.328865655660299,0.895103757223153,0.623753243001008,0.107598081534587,0.948332648140901,-0.594001461285722,0.860801799889993,0.578523203006976,0.0888967829425677,0.939393939393939,-0.168343511565346,0.900650775765593,0.637399569903257,0.0825869436217953,0.906692829247047,-0.599065094582442,58.4077272062052,59.8419435094395,38.4165081223474,31.0405385628567,40.1726913507976
5,4,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295,-0.387227896864604,0.813215749370735,0.518576684914296,0.027479741623437,0.939393939393939,-0.0649336542755091,0.872219800600847,0.638033700422644,0.0521227272674421,0.810990686314409,-0.180848997847564,0.881904932842741,0.650022862954748,0.0811650103932653,0.765960985036881,-0.248177802491317,0.909496673119575,0.727040037948231,0.0505828398431358,0.819150073319746,-0.500477238415368,0.867218048486558,0.645987017260462,0.0553577316133571,0.83030303030303,-0.0749307394350201,0.910245394160258,0.686159219550706,0.0855806288202397,0.893621149209695,-0.63971556506075,55.8330594807756,53.7463029904699,30.2168912257641,22.4942490962866,41.6858363457115
5,5,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242,-0.346109279774834,0.623741190645256,0.213331825462501,0.00321524036427533,0.733333333333333,-0.063746678490714,0.702086339560187,0.341485984956814,0.00687292978714526,0.818181818181818,-0.162616602450254,0.721314886925999,0.36475839450903,0.00965732872558463,0.896358126979083,-0.198699126598394,0.787081660992215,0.465945679678215,0.0103804033284634,0.935495331442929,-0.550683907958095,0.682603271028546,0.308625365504627,0.0128090962803535,0.936174537267299,-0.109590697791262,0.875904108717151,0.606731173973436,0.0596479993218629,0.966569814451303,-0.555294544401204,62.5118035882909,35.8199559332704,37.472458293988,23.2609379918162,37.3622914699402
6,1,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333,-0.325645841908604,0.766173979268401,0.440459649251864,0.0417224405088646,0.883333333333333,-0.147460033159238,0.861219158807396,0.575687285037492,0.0633387292617778,0.987878787878788,-0.357949738210816,0.875653605023587,0.597135395819495,0.0565608905273436,0.903030303030303,-0.365750735263081,0.904710369910405,0.664130496711691,0.0710975060758338,0.960490759014502,-0.655079139126882,0.852923057395215,0.613943742116389,0.0551823519202823,0.878787878787879,0.0291304324119567,0.899292195845846,0.652648403183503,0.0848163157161486,0.981725567643758,-0.624561752956623,64.3920412675018,27.0891672807664,28.0324244657332,27.1481208548268,36.5659543109801
6,2,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333,-0.349747566414214,0.7616750038796,0.429890133502214,0.0307032391613181,0.806060606060606,-0.132934791358358,0.80993793268533,0.484498249939214,0.0301984344383687,0.83030303030303,-0.319562435889088,0.836648820507408,0.566428801646584,0.0348451295632815,0.859772080979937,-0.336366444385687,0.845190222905786,0.607115594483492,0.0303295979605606,0.693303724628029,-0.558542774522143,0.806391711415573,0.513887396735105,0.0421702386284298,0.670744176651015,-0.0879674418730971,0.918399677479377,0.663281399243317,0.110724266314827,0.984731927834662,-0.586073822122554,59.7728726807422,59.3730006397953,31.8937939859245,26.5355086372361,32.7735124760077
6,3,0.784453407407227,0.460190260976525,0.0330354386440711,0.8,-0.328363973897483,0.742456724150941,0.420177715680727,0.0308283759859911,0.793939393939394,-0.0730661268356921,0.86896033590236,0.58317841648538,0.0688343580972607,0.915151515151515,-0.345796060943592,0.882615036224468,0.613673634808416,0.101899573460239,0.847576732313555,-0.36122402902472,0.903319937571516,0.628847261539987,0.103009620215083,0.920748824311847,-0.588164610429619,0.866811341779427,0.573281219608103,0.103048460948639,0.966569814451303,-0.203971509890081,0.866591780694803,0.628887222947341,0.0861023844628471,0.837955754568397,-0.586698989009175,54.2514268988731,54.9831699107274,36.0017561832285,36.8359432167423,44.1533733352847
6,4,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295,-0.387227896864604,0.803837450801913,0.516766879057106,0.0294938812196533,0.854545454545454,-0.0648186271670449,0.86345965650013,0.627944086186929,0.0289075500683982,0.781818181818182,-0.197403734330207,0.882370525164207,0.649040610590463,0.028106056865238,0.820672483968087,-0.246423373657234,0.911528912022495,0.703061712884023,0.0416372309416377,0.855485862306363,-0.559294687766611,0.875005662320569,0.650928620573241,0.0444966058866521,0.75380287416328,-0.152732101500435,0.900080321358453,0.661501699070554,0.0750601444418711,0.966569814451303,-0.630961525720972,53.9510432068342,50.9282076556596,36.8161655988172,21.1927057663874,37.7361590274355
6,5,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242,-0.346109279774834,0.624371478840694,0.207652571336608,0.00335392681555019,0.36969696969697,-0.0539905698406065,0.704545442188559,0.307045907054987,0.00779705809548118,0.954411703577701,-0.203392847272096,0.713493917046081,0.357480924165334,0.00637345211500245,0.951515151515151,-0.212863248789411,0.778954789972804,0.438033848800427,0.00859290824274864,0.936174537267299,-0.54421942577159,0.668851652151598,0.287649015516208,0.00578356321708637,0.866666666666667,0.0143737838318506,0.876418537719887,0.652243805629895,0.0684157638457176,0.609302880347697,-0.55576422307396,65.0613786591124,62.6219704123387,35.2061693421467,19.9559332703809,33.0657853320743
