rep,fold,obs_AUC,obs_TSS,obs_PR,neu_AUC,neu_TSS,neu_PR,sin_AUC,sin_TSS,sin_PR,ale_AUC,ale_TSS,cambio_decil,cor_vias_obs,cor_vias_neu
4,3,0.906411230341087,0.643656065640929,0.0987525777517855,0.868503311838598,0.597704051544879,0.0931900058631615,0.879300652867284,0.613323490645943,0.0889803390647841,0.905391580495809,0.650403690511559,41.7093516756915,-0.601182107231121,-0.214777669666159
4,4,0.910726571881557,0.690026196245347,0.0514985739831362,0.886978799417101,0.664029948333996,0.045079406617096,0.883088678350278,0.65794241954163,0.0439895048020001,0.904980421497578,0.680225221043204,34.6368715083799,-0.524010867425784,-0.163991040746813
4,5,0.779415578625496,0.434517175047493,0.0159874737348322,0.683622579024574,0.311775311297396,0.00447443267908877,0.71482687395541,0.357586674481497,0.00532812051776446,0.886471633573254,0.654356620847203,31.5234497954045,-0.552067810722378,-0.103538808788884
5,1,0.899573987490074,0.644090455718715,0.0706125727388732,0.849817572601345,0.59160942146102,0.0547913413278182,0.875014153539034,0.608544770979512,0.0667721255068719,0.908310646972869,0.658904371218972,38.4082535003685,-0.647593433942536,-0.014296914924254
5,2,0.837595709885095,0.593472282693718,0.0384274558713955,0.809436254876202,0.493077034716607,0.067323970614162,0.828072784434354,0.532963718987547,0.03527640534334,0.872439391733991,0.627605728638703,36.1964171465131,-0.566323109700271,-0.156265296416161
5,3,0.901389755889699,0.632652304043741,0.111062234882467,0.86648041239562,0.590613761336812,0.0919231736896358,0.875522496301432,0.59022917071892,0.104559587729643,0.899537819170263,0.619814197017115,40.2605005122201,-0.575027365598079,-0.197928046946232
5,4,0.907818275834071,0.695038525147114,0.0497749249632756,0.871070776870382,0.623946060520592,0.0541153356378543,0.88003423033038,0.653933710251578,0.0595003390886492,0.908199698778903,0.692316394933283,40.6506736772922,-0.507398083185286,-0.0513361661932109
5,5,0.782228496257689,0.430715872551568,0.0110060488635654,0.676861830823417,0.317994191072607,0.0127027027045487,0.713400128205268,0.334599981079121,0.00635049955416338,0.875554312310427,0.601550229212921,37.2993389990557,-0.55332082430515,-0.0751844216914102
6,1,0.900885741093728,0.651254923087686,0.0800599391966375,0.85175615669933,0.603607583844844,0.0536227840628738,0.881283359981653,0.616491090662703,0.0635166001856626,0.896172707771182,0.648629219215812,41.2822402358143,-0.65309966510799,-0.0186693817510648
6,2,0.84002650693396,0.60311033958907,0.0274955664796118,0.812555798698088,0.542176747657633,0.0434922931805717,0.837657830603163,0.53677577923412,0.032738588419428,0.91658264590957,0.671289338212492,34.9328214971209,-0.576503345196346,-0.127678896964544
6,3,0.904510147431567,0.639555093417386,0.0897965207817871,0.870949747784824,0.586039537597273,0.0926701862488049,0.880841781381846,0.60781810619289,0.0909329419379742,0.8583099619913,0.626133454127662,37.304258744329,-0.615944302336907,-0.207635603950209
6,4,0.914681435708089,0.689033260257347,0.0376955480017117,0.872246402823896,0.638012333175216,0.035377095523322,0.88089971068747,0.656017444220801,0.0303330156441896,0.901124316469803,0.647933961239468,37.2658560630956,-0.553321674846732,-0.168241254121912
6,5,0.779268778700745,0.426124840830822,0.0113142855860364,0.660201330659762,0.257189118537133,0.0125232661597863,0.711530807867171,0.33557647243043,0.00791268255395801,0.878033300511493,0.662801651924614,34.985835694051,-0.528631736816443,-0.0250912390313611
7,1,0.90320522667659,0.65135141957292,0.0717979574389287,0.848968901158895,0.599004312051459,0.0664458929108105,0.883208385530143,0.645073162077314,0.0760677360639827,0.903767702306535,0.673349395246741,40.4716285924834,-0.637461153966774,0.0357648469835969
7,2,0.84287526411122,0.597863926883836,0.0216149801467951,0.803665860589486,0.524523468908856,0.0349339348681128,0.833071028404954,0.544179375104843,0.0381945155805526,0.864622758577899,0.616231017063562,37.763915547025,-0.554652060484124,-0.0308639349675078
7,3,0.900549321386388,0.629771414944583,0.0996808914219093,0.864247662490827,0.59724547849704,0.0836208421842673,0.881310791631916,0.62142659515671,0.0876609268164429,0.904393797024157,0.659830028863278,40.9190692228889,-0.595760071763794,-0.193810299673343
7,4,0.914533574355884,0.679963718413867,0.0392496008455525,0.878354337337555,0.671049516459191,0.033035960935131,0.887302833724354,0.641044559257787,0.0411055761550235,0.894367823353345,0.637930165475101,35.9842260926717,-0.579190693699325,-0.0536097914867525
7,5,0.787234169802929,0.422486649362399,0.0137884006827516,0.680762155305621,0.31875918179159,0.00555414973876624,0.721173863850138,0.364864144825194,0.00599941041779269,0.911441960137515,0.678410020736135,36.3550519357885,-0.5621201028948,-0.117530123478496
8,1,0.897095874090117,0.634401285465884,0.0748261928242447,0.838811708528688,0.573929649879307,0.0632656451005342,0.878447279239048,0.622724056833401,0.0648145066212978,0.897302962138303,0.658821119233167,43.6551215917465,-0.647517486979739,-0.0141958885624458
8,2,0.836981099594825,0.568249543400942,0.0314190737965929,0.800454195905027,0.496900403918176,0.0398158108389204,0.833450585207007,0.533957022201363,0.0306944988404241,0.887718217079132,0.63653712161442,35.6365962891875,-0.572773523227345,-0.0246570172678186
8,3,0.898091747507039,0.640755408554508,0.108406463272724,0.861317058378923,0.597704051544879,0.0923826779891679,0.873658810293191,0.594675197585827,0.0971858232751445,0.892752827830823,0.658405165679442,43.1435679789258,-0.60379813786097,-0.269246702921866
