celda,x,y,era,amb,uni,prospcorr_mesozoico,incert_mesozoico
433906,-107531.744610507,-146518.03961061,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.988774418830872,0.0442493109957281
433908,-103530.185238889,-146518.03961061,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.982597172260284,0.0930002190122938
433910,-99528.6258672704,-146518.03961061,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.979472160339355,0.0807833000544371
433913,-93526.2868098427,-146518.03961061,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.993249773979187,0.0140117682086977
433958,-3491.20094842772,-146518.03961061,Cenozoico,Sin dato,Unidad Carrizal,0.899302840232849,0.0115582114650961
434597,-117535.643039553,-148517.57506584,Cenozoico,Marino,Grupo Pucará - Formación Chambará,0.88795268535614,0.0553045501270599
434603,-105530.964924698,-148517.57506584,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.992040455341339,0.0704406775746319
434606,-99528.6258672704,-148517.57506584,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.991656541824341,0.00271027531132241
434607,-97527.8461814612,-148517.57506584,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.977435886859894,0.0815197720263389
434608,-95527.066495652,-148517.57506584,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.976594269275665,0.0124302400999776
434609,-93526.2868098427,-148517.57506584,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.98650848865509,0.0575018507034379
435299,-105530.964924698,-150517.11052107,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.99592113494873,0.0169187745878405
435300,-103530.185238889,-150517.11052107,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.992691099643707,0.0323781234397019
435301,-101529.40555308,-150517.11052107,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.98976993560791,0.0356954589772674
435988,-119536.422725363,-152516.645976301,Cenozoico,Marino,Grupo Pucará - Formación Aramachay,0.952445566654205,0.0771304258035895
