design,rep,fold,model,AUC,TSS,PR_AUC,Boyce
National,5,1,Geological baseline,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333
National,5,1,MaxEnt,0.873583257787692,0.600412381840487,0.0520938039218566,0.890909090909091
National,5,1,Random forest,0.89614172722939,0.643085103697662,0.0846290426511697,0.951515151515151
National,5,1,Gradient boosting,0.907616298818892,0.6636844348573,0.0783387644706832,0.984806980761705
National,5,2,Geological baseline,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333
National,5,2,MaxEnt,0.828073569778451,0.530238260833508,0.0174041731979861,0.871231229178585
National,5,2,Random forest,0.856656168186779,0.586250572515847,0.0224801452638168,0.975757575757576
National,5,2,Gradient boosting,0.841407691597258,0.594895326197383,0.0299714944623857,0.775476393169796
National,5,3,Geological baseline,0.784453407407227,0.460190260976525,0.0330354386440711,0.8
National,5,3,MaxEnt,0.878465676688815,0.598938813137421,0.0864301072992219,0.966569814451303
National,5,3,Random forest,0.893579224966555,0.622498713421202,0.0972386514129429,0.987804421815157
National,5,3,Gradient boosting,0.899088887566106,0.621500577586658,0.101589906644287,0.914179247518375
National,5,4,Geological baseline,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295
National,5,4,MaxEnt,0.880347046832733,0.599855130062435,0.0320373317724552,0.963262697049563
National,5,4,Random forest,0.893131498314124,0.691040499480776,0.0312295345887743,0.796356262220885
National,5,4,Gradient boosting,0.912328474421268,0.680999388896724,0.0412771363661394,0.966268204187762
National,5,5,Geological baseline,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242
National,5,5,MaxEnt,0.719288232409291,0.357415679754333,0.00468347389554099,0.939393939393939
National,5,5,Random forest,0.766699374958543,0.382975177763835,0.00826333447066681,0.983333333333333
National,5,5,Gradient boosting,0.77357905828392,0.408567297978837,0.0111636858430062,0.975757575757576
National,6,1,Geological baseline,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333
National,6,1,MaxEnt,0.876350139443912,0.605558284093442,0.0494737717646077,0.893621149209695
National,6,1,Random forest,0.89799676037211,0.643576456876961,0.0892130998487503,0.893621149209695
National,6,1,Gradient boosting,0.903892710043928,0.659260309005113,0.0842945919329004,0.905779260083296
National,6,2,Geological baseline,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333
National,6,2,MaxEnt,0.830096930309821,0.530210930858934,0.0184809910708759,0.871231229178585
National,6,2,Random forest,0.862431745744535,0.582256626576421,0.0284265232407789,0.930095481830499
National,6,2,Gradient boosting,0.841580545832996,0.566610687339436,0.0269332212019628,0.751784854257716
National,6,3,Geological baseline,0.784453407407227,0.460190260976525,0.0330354386440711,0.8
National,6,3,MaxEnt,0.882757173953788,0.607581480434893,0.0865641348108854,0.987878787878788
National,6,3,Random forest,0.893071121308836,0.621870489736395,0.0980283116415895,0.984806980761705
National,6,3,Gradient boosting,0.898196193290494,0.623827225430955,0.102563883489431,0.938720972283969
National,6,4,Geological baseline,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295
National,6,4,MaxEnt,0.876394533403418,0.582832271381136,0.0312825340121866,0.97553355943236
National,6,4,Random forest,0.890671487117687,0.653044405413606,0.0327177584096655,0.769125641361288
National,6,4,Gradient boosting,0.910552428815015,0.697035080746828,0.0579707021682665,0.824712989561529
National,6,5,Geological baseline,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242
National,6,5,MaxEnt,0.719375360883148,0.349178572865502,0.00461284293799012,0.963432544644185
National,6,5,Random forest,0.762043778456078,0.400419086599994,0.00723831597749626,0.866666666666667
National,6,5,Gradient boosting,0.773657487502977,0.438277971638255,0.00858971011429128,0.996965091635306
National,7,1,Geological baseline,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333
National,7,1,MaxEnt,0.876102191076022,0.60956490758911,0.0512723117051978,0.890909090909091
National,7,1,Random forest,0.89647928462785,0.651954991385273,0.0791331379072965,0.983333333333333
National,7,1,Gradient boosting,0.897310791523599,0.650882712056075,0.0771091127624301,0.951515151515151
National,7,2,Geological baseline,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333
National,7,2,MaxEnt,0.82905854834484,0.531440779714751,0.0147038631014473,0.880771012101089
National,7,2,Random forest,0.851657138872083,0.57923336594082,0.0219809807788776,0.951515151515151
National,7,2,Gradient boosting,0.83784112991539,0.564608059892226,0.0250460379728794,0.780502314648453
National,7,3,Geological baseline,0.784453407407227,0.460190260976525,0.0330354386440711,0.8
National,7,3,MaxEnt,0.880592726870662,0.595619118977688,0.0882109875286607,0.966569814451303
National,7,3,Random forest,0.891163510537849,0.609839825457524,0.100057502959361,0.948332648140901
National,7,3,Gradient boosting,0.898024587983144,0.622404963003991,0.0993610220706639,0.948332648140901
National,7,4,Geological baseline,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295
