rep,departamento,n_test_pres,base_AUC,base_TSS,base_PR,base_Boyce,base_rhoVias,all_obs_AUC,all_obs_TSS,all_obs_PR,all_obs_Boyce,all_obs_rhoVias,all_neu_AUC,all_neu_TSS,all_neu_PR,all_neu_Boyce,all_neu_rhoVias
9,Tumbes,33,0.552257266542981,0.0427522787771235,0.0513556510095275,0.352585215334438,-0.165331586295079,0.64311258100078,0.237691914710548,0.0634241614236732,0.789024031673892,-0.46533944774435,0.64163372859025,0.231884057971014,0.066727257735613,0.743916268649307,-0.267598347371481
10,Tumbes,33,0.552257266542981,0.0427522787771235,0.0513556510095275,0.352585215334438,-0.165331586295079,0.601516495926434,0.177758059745637,0.068439361245578,0.664694051288397,-0.447086609410892,0.609959398779275,0.220483450297115,0.0404443814916503,0.547114989312058,-0.161415978444246
1,Piura,118,0.691513743901598,0.301716743128049,0.0336861622787626,0.857142857142857,0.129708198095343,0.769736035904938,0.433760061883937,0.0670278382232652,0.960490759014502,-0.432736045732486,0.788519495737821,0.451915491663284,0.0600656006158318,0.978727925324904,-0.00829032904666318
2,Piura,118,0.691513743901598,0.301716743128049,0.0336861622787626,0.857142857142857,0.129708198095343,0.804549101227722,0.481882864736113,0.0736948889499751,0.893621149209695,-0.404690692000831,0.79743876706978,0.461410616771466,0.0569450194710631,0.963636363636364,0.0161813942736369
3,Piura,118,0.691513743901598,0.301716743128049,0.0336861622787626,0.857142857142857,0.129708198095343,0.775127903681635,0.45240183200962,0.0647764981167735,0.884162778312701,-0.343060287477065,0.79190473090444,0.463447884993911,0.0604921689651468,0.911858315520097,0.0449723981702927
4,Piura,118,0.691513743901598,0.301716743128049,0.0336861622787626,0.857142857142857,0.129708198095343,0.783828417594032,0.456116400009191,0.0902896093204575,0.903030303030303,-0.341125085408087,0.795788752134919,0.491243959040186,0.0582854338967478,0.930095481830499,0.00540008275150854
5,Piura,118,0.691513743901598,0.301716743128049,0.0336861622787626,0.857142857142857,0.129708198095343,0.795325388497859,0.497133655517857,0.0726554289965678,0.954168596442846,-0.382159726633047,0.798185988802684,0.47091340078274,0.0551513205907197,0.914651149978656,-0.0145143634600203
6,Piura,118,0.691513743901598,0.301716743128049,0.0336861622787626,0.857142857142857,0.129708198095343,0.793358965129014,0.481429074727918,0.069201777727846,0.889637522752781,-0.396511371191439,0.781778224972619,0.469686061562263,0.0580908448105223,0.911858315520097,-0.00311172471126187
7,Piura,118,0.691513743901598,0.301716743128049,0.0336861622787626,0.857142857142857,0.129708198095343,0.777994248163778,0.4348820911869,0.0800858979022652,0.917469804271967,-0.317382012934523,0.784403314007368,0.469439061937549,0.0631396843058723,0.960490759014502,-0.0348584872308174
8,Piura,118,0.691513743901598,0.301716743128049,0.0336861622787626,0.857142857142857,0.129708198095343,0.754845213568513,0.394536904424548,0.083051870345672,0.941649905991896,-0.354981548910954,0.788053260012101,0.476552268184151,0.0572279409990828,0.975627893310567,-0.0138017955045101
9,Piura,118,0.691513743901598,0.301716743128049,0.0336861622787626,0.857142857142857,0.129708198095343,0.789864590593335,0.449703983395498,0.0716747430509468,0.847576732313555,-0.416708480440319,0.812079239011389,0.501302013525623,0.0640267481892853,0.957334870310994,0.0187220727341614
10,Piura,118,0.691513743901598,0.301716743128049,0.0336861622787626,0.857142857142857,0.129708198095343,0.786904424548316,0.453070071304388,0.0673570392772327,0.963262697049563,-0.492014885436823,0.807993692893304,0.509780419248355,0.0610385142927797,0.926846498645038,-0.0116457661912393
1,Pasco,29,0.621112081985522,0.371151141999063,0.00885973374485385,0.493728171165877,0.0379932310713968,0.736214708554432,0.418619185121317,0.0151083718608778,0.867795011404296,-0.445655376485514,0.519634166806511,0.0842249625313203,0.00604628671668475,0.220192753025272,0.355841721602132
2,Pasco,29,0.621112081985522,0.371151141999063,0.00885973374485385,0.493728171165877,0.0379932310713968,0.743338097690541,0.449259595743327,0.0135614616850835,0.85282493560439,-0.455038758194806,0.632618872641209,0.236148161864696,0.0082170687994277,0.695134873983779,0.104016894404517
3,Pasco,29,0.621112081985522,0.371151141999063,0.00885973374485385,0.493728171165877,0.0379932310713968,0.726377371810822,0.368865407873341,0.013793899991379,0.92358626963378,-0.523517644376258,0.566318116323614,0.1599550954511,0.0068015351510461,0.323176739659125,0.369654184439113
4,Pasco,29,0.621112081985522,0.371151141999063,0.00885973374485385,0.493728171165877,0.0379932310713968,0.726105398383205,0.381954852411015,0.0147564388345589,0.901389140334907,-0.40579736807673,0.559955674117967,0.141021115553987,0.00876065800812873,0.407296714265643,0.386409039014642
5,Pasco,29,0.621112081985522,0.371151141999063,0.00885973374485385,0.493728171165877,0.0379932310713968,0.722685477197632,0.385988160475896,0.0136521755887807,0.898567884149129,-0.433357970182568,0.561827661433589,0.125917910318209,0.00618858177331993,0.440385506050544,0.292536664286954
6,Pasco,29,0.621112081985522,0.371151141999063,0.00885973374485385,0.493728171165877,0.0379932310713968,0.742007163895817,0.413590570044731,0.0140309731772109,0.975627893310567,-0.523864943702385,0.637578047693723,0.232705094004433,0.00767385751414725,0.843176713208429,0.214060408979332
7,Pasco,29,0.621112081985522,0.371151141999063,0.00885973374485385,0.493728171165877,0.0379932310713968,0.727407398834565,0.383968613109119,0.0140521817232121,0.908553475645465,-0.413483966370361,0.539702333763476,0.107770917360585,0.00565182358936498,0.307728727448332,0.318331407166837
8,Pasco,29,0.621112081985522,0.371151141999063,0.00885973374485385,0.493728171165877,0.0379932310713968,0.74653812546655,0.458309945547448,0.0121990043180665,0.873949585953262,-0.415971364898064,0.588243803924519,0.164989497196359,0.00629125826246913,0.537129145268061,0.280039977910599
9,Pasco,29,0.621112081985522,0.371151141999063,0.00885973374485385,0.493728171165877,0.0379932310713968,0.726012811684441,0.382383065892796,0.0202500133036075,0.920748824311847,-0.416911171326444,0.615510586710337,0.194189027318863,0.0076499352196819,0.703824397247804,0.28060570739431
10,Pasco,29,0.621112081985522,0.371151141999063,0.00885973374485385,0.493728171165877,0.0379932310713968,0.731168733471828,0.413584783376058,0.0133848135479294,0.877366660369984,-0.463953441307288,0.562325314939443,0.14403596993247,0.00608285336712877,0.109758137997439,0.407026692826343
