rep,scenario,n_test_pres,base_AUC,base_TSS,base_PR,base_Boyce,base_rhoVias,geotopo_AUC,geotopo_TSS,geotopo_PR,geotopo_Boyce,geotopo_rhoVias,all_obs_AUC,all_obs_TSS,all_obs_PR,all_obs_Boyce,all_obs_rhoVias,all_neu_AUC,all_neu_TSS,all_neu_PR,all_neu_Boyce,all_neu_rhoVias,desp_obs_neu
3,Test Selva,115,0.541803720325118,0.0908802097364496,0.000855966950140392,0.642857142857143,-0.188436386639727,0.692603209125375,0.348378079737523,0.00237297350599737,0.672727272727273,-0.256081566592994,0.76688642889527,0.449366585409124,0.0031205581942648,0.859772080979937,-0.472997176124495,0.680916140463847,0.302260646161731,0.00206202265246257,0.587878787878788,-0.279246984919471,34.3840442934441
3,"Train Costa only, test Sierra + Selva",298,0.582957845384375,0.157617194258474,0.00127444266561109,0.857142857142857,-0.255637399474999,0.683820472133013,0.265699410442497,0.00203555686863966,0.951515151515151,-0.399778727290701,0.73727799706988,0.372142954832693,0.00235964149647472,0.987878787878788,-0.733996337623832,0.641146737037873,0.203807155321424,0.0017228795759049,0.927272727272727,-0.137893538955282,55.9136122087478
4,Test Costa,401,0.616724178773431,0.297755816439197,0.0175187313654446,0.566666666666667,-0.201567182775091,0.523830361957717,0.0149397353538465,0.0161434055043933,0.127272727272727,-0.34178349135415,0.594765960241009,0.107444064492892,0.0204142392760288,0.660606060606061,-0.556055684153683,0.639762852130205,0.215674210060006,0.0204001129228586,0.984806980761705,-0.276318223048133,61.0904165255672
4,Test Sierra,183,0.597388353853587,0.237053194311946,0.0019854020521693,0.6,-0.0934247923043779,0.578505781827854,0.172539617974065,0.00168078857354746,0.696969696969697,-0.147446317192023,0.567710802445653,0.101261527401416,0.00164471238446594,0.75380287416328,-0.0953131689944893,0.597663979947313,0.163519737291326,0.00184618053547388,0.963636363636364,-0.16203170225571,43.4343434343434
4,Test Selva,115,0.541803720325118,0.0908802097364496,0.000855966950140392,0.642857142857143,-0.188436386639727,0.704178849822482,0.357362623282586,0.00212827245799932,0.709090909090909,-0.259143539464318,0.789909390174189,0.489940819978404,0.00342224957085899,0.890909090909091,-0.517432134430875,0.68312600066145,0.296301303406027,0.00209355344523785,0.757575757575757,-0.277463353921503,46.6117158497452
4,"Train Costa only, test Sierra + Selva",298,0.582957845384375,0.157617194258474,0.00127444266561109,0.857142857142857,-0.255637399474999,0.673004436145124,0.250346926422762,0.00191569632679605,0.963636363636364,-0.386394621089712,0.724266780079727,0.359110408241245,0.00221570660719028,1,-0.700926109586806,0.648488199283655,0.233129109266696,0.0017476954256783,0.939393939393939,-0.170179079352098,60.1587247522055
5,Test Costa,401,0.616724178773431,0.297755816439197,0.0175187313654446,0.566666666666667,-0.201567182775091,0.484179925756346,0.011092972022551,0.0129498529901442,-0.364743326208039,-0.302910458404368,0.538051606196839,0.0265450041688322,0.0154979974511016,0.151515151515152,-0.574287648566827,0.531399024838261,0.0310985727003854,0.0139309474560493,0.357575757575758,-0.265541245060832,51.3376227565188
5,Test Sierra,183,0.597388353853587,0.237053194311946,0.0019854020521693,0.6,-0.0934247923043779,0.560682469148086,0.11488712559722,0.00159337446023519,0.745454545454545,-0.0170197703979258,0.602594685478579,0.169499988294579,0.00177356100998782,0.978727925324904,-0.176996882935198,0.626159039934346,0.228149148528141,0.00211290967133024,0.806060606060606,-0.111125912056965,55.8087744042759
5,Test Selva,115,0.541803720325118,0.0908802097364496,0.000855966950140392,0.642857142857143,-0.188436386639727,0.693934814367034,0.342242204422951,0.002563776855397,0.721212121212121,-0.284893146135261,0.775632702766042,0.457369960553953,0.00315404567414303,0.951515151515151,-0.528464116591339,0.685999993429309,0.315618093930215,0.00198063033522617,0.757575757575757,-0.279287091311236,36.2841873624646
5,"Train Costa only, test Sierra + Selva",298,0.582957845384375,0.157617194258474,0.00127444266561109,0.857142857142857,-0.255637399474999,0.686663036286138,0.27920148289247,0.00201372931219487,0.975757575757576,-0.384107860808884,0.717246749432843,0.374863394431198,0.00196158396158793,0.939393939393939,-0.722383687048942,0.65848087718855,0.232922473032701,0.00175256247434565,0.975757575757576,-0.321946356218655,50.7630467366126
